Longitude,Latitude,Signal_Strength
23.749249,90.369372,14
23.749249,90.374405,6
23.749249,90.379438,5
23.749249,90.384471,22
23.749249,90.389504,25
23.749249,90.394537,18
23.749249,90.39957,1
23.745657,90.369372,4
23.745657,90.374405,10
23.745657,90.379438,26
23.745657,90.384471,18
23.745657,90.389504,8
23.745657,90.394537,1
23.745657,90.39957,1
23.742065,90.369372,5
23.742065,90.374405,15
23.742065,90.379438,30
23.742065,90.384471,1
23.742065,90.389504,25
23.742065,90.394537,15
23.742065,90.39957,21
23.738473,90.369372,12
23.738473,90.374405,11
23.738473,90.379438,20
23.738473,90.384471,29
23.738473,90.389504,8
23.738473,90.394537,8
23.738473,90.39957,5
23.73488,90.369372,8
23.73488,90.374405,7
23.73488,90.379438,27
23.73488,90.384471,21
23.73488,90.389504,13
23.73488,90.394537,23
23.73488,90.39957,25
23.731288,90.369372,19
23.731288,90.374405,10
23.731288,90.379438,20
23.731288,90.384471,5
23.731288,90.389504,9
23.731288,90.394537,25
23.731288,90.39957,7
23.727696,90.369372,17
23.727696,90.374405,7
23.727696,90.379438,10
23.727696,90.384471,2
23.727696,90.389504,17
23.727696,90.394537,29
23.727696,90.39957,17
