Longitude,Latitude,Signal_Strength
23.749249,90.369372,6
23.749249,90.3698682,5
23.749249,90.3703644,11
23.749249,90.3708606,14
23.749249,90.3713568,9
23.749249,90.3718531,18
23.749249,90.3723493,0
23.749249,90.3728455,7
23.749249,90.3733417,22
23.749249,90.3738379,6
23.749249,90.3743341,21
23.749249,90.3748303,10
23.749249,90.3753265,6
23.749249,90.3758227,8
23.749249,90.376319,26
23.749249,90.3768152,17
23.749249,90.3773114,29
23.749249,90.3778076,6
23.749249,90.3783038,14
23.749249,90.3788,29
23.749249,90.3792962,25
23.749249,90.3797924,13
23.749249,90.3802886,21
23.749249,90.3807849,27
23.749249,90.3812811,2
23.749249,90.3817773,14
23.749249,90.3822735,26
23.749249,90.3827697,19
23.749249,90.3832659,25
23.749249,90.3837621,16
23.749249,90.3842583,23
23.749249,90.3847545,7
23.749249,90.3852508,23
23.749249,90.385747,29
23.749249,90.3862432,17
23.749249,90.3867394,6
23.749249,90.3872356,28
23.749249,90.3877318,12
23.749249,90.388228,6
23.749249,90.3887242,15
23.749249,90.3892205,23
23.749249,90.3897167,11
23.749249,90.3902129,28
23.749249,90.3907091,5
23.749249,90.3912053,0
23.749249,90.3917015,17
23.749249,90.3921977,6
23.749249,90.3926939,28
23.749249,90.3931901,3
23.749249,90.3936864,16
23.749249,90.3941826,9
23.749249,90.3946788,10
23.749249,90.395175,6
23.749249,90.3956712,22
23.749249,90.3961674,17
23.749249,90.3966636,23
23.749249,90.3971598,24
23.749249,90.397656,24
23.749249,90.3981523,22
23.749249,90.3986485,19
23.749249,90.3991447,28
23.749249,90.3996409,4
23.749249,90.4001371,13
23.749249,90.4006333,19
23.749249,90.4011295,14
23.749249,90.4016257,23
23.749249,90.4021219,22
23.749249,90.4026182,1
23.749249,90.4031144,22
23.749249,90.4036106,2
23.749249,90.4041068,29
23.7488948,90.369372,15
23.7488948,90.3698682,11
23.7488948,90.3703644,21
23.7488948,90.3708606,17
23.7488948,90.3713568,23
23.7488948,90.3718531,14
23.7488948,90.3723493,16
23.7488948,90.3728455,30
23.7488948,90.3733417,30
23.7488948,90.3738379,25
23.7488948,90.3743341,1
23.7488948,90.3748303,9
23.7488948,90.3753265,5
23.7488948,90.3758227,15
23.7488948,90.376319,8
23.7488948,90.3768152,29
23.7488948,90.3773114,11
23.7488948,90.3778076,15
23.7488948,90.3783038,28
23.7488948,90.3788,12
23.7488948,90.3792962,23
23.7488948,90.3797924,17
23.7488948,90.3802886,7
23.7488948,90.3807849,12
23.7488948,90.3812811,21
23.7488948,90.3817773,7
23.7488948,90.3822735,12
23.7488948,90.3827697,6
23.7488948,90.3832659,7
23.7488948,90.3837621,17
23.7488948,90.3842583,27
23.7488948,90.3847545,22
23.7488948,90.3852508,6
23.7488948,90.385747,27
23.7488948,90.3862432,19
23.7488948,90.3867394,14
23.7488948,90.3872356,24
23.7488948,90.3877318,3
23.7488948,90.388228,14
23.7488948,90.3887242,2
